id,village,rus_village,lat,lon,lang,aff,family,standard,default_level,dialect_toplevel,dialect_toplevel_cyr,dialect_nt1,dialect_nt1_cyr,dialect_nt2,dialect_nt2_cyr,dialect_nt3,dialect_nt3_cyr,village_dialect,gltc_lang,lang_col,aff_col,dataset_version
1,Khpyuk,Хпюк,41.66667,47.66667,Agul,Lezgic,East Caucasian,NA,Agul,Huppuq,Хпюкский,NA,NA,NA,NA,NA,NA,Huppuq',aghu1253,#00cc66,#00cc66,2024-09-19
2,Usug,Усуг,41.672481,47.594624,Agul,Lezgic,East Caucasian,NA,Agul,Keren,Керенский,NA,NA,NA,NA,NA,NA,Usug,aghu1253,#00cc66,#00cc66,2024-09-19
3,Kvardal,Квардал,41.6803,47.56277,Agul,Lezgic,East Caucasian,NA,Agul,Keren,Керенский,NA,NA,NA,NA,NA,NA,Kvardal,aghu1253,#00cc66,#00cc66,2024-09-19
4,Ukuz,Укуз,41.696017,47.591355,Agul,Lezgic,East Caucasian,NA,Agul,Keren,Керенский,NA,NA,NA,NA,NA,NA,Ukuz,aghu1253,#00cc66,#00cc66,2024-09-19
5,Khveredzh,Хвередж,41.70206,47.57218,Agul,Lezgic,East Caucasian,NA,Agul,Keren,Керенский,NA,NA,NA,NA,NA,NA,Khveredzh,aghu1253,#00cc66,#00cc66,2024-09-19
6,Bedyuk,Бедюк,41.716044,47.525715,Agul,Lezgic,East Caucasian,NA,Agul,Keren,Керенский,NA,NA,NA,NA,NA,NA,Bedyuk,aghu1253,#00cc66,#00cc66,2024-09-19
7,Goa,Гоа,41.753585,47.703213,Agul,Lezgic,East Caucasian,NA,Agul,Central Agul,Среднеагульский,NA,NA,NA,NA,NA,NA,Goa,aghu1253,#00cc66,#00cc66,2024-09-19
8,Richa,Рича,41.763646,47.502769,Agul,Lezgic,East Caucasian,NA,Agul,Keren,Керенский,NA,NA,NA,NA,NA,NA,Richa,aghu1253,#00cc66,#00cc66,2024-09-19
9,Duldug,Дулдуг,41.76833,47.67438,Agul,Lezgic,East Caucasian,NA,Agul,Central Agul,Среднеагульский,NA,NA,NA,NA,NA,NA,Duldug,aghu1253,#00cc66,#00cc66,2024-09-19
10,Tpig,Тпиг,41.780423,47.589523,Agul,Lezgic,East Caucasian,NA,Agul,Central Agul,Среднеагульский,NA,NA,NA,NA,NA,NA,Tpig,aghu1253,#00cc66,#00cc66,2024-09-19
