from,to
"Beljaev, O. I.","Belyaev, Oleg I."
"Čumakina, M. È.","Chumakina, Marina E."
"Čumakina, Marina È.","Chumakina, Marina E."
"Danièlʹ, M.A.","Daniel, Michael A."
"Danièlʹ, Mixail A.","Daniel, Michael A."
"Dešeriev, Junus D.","Desheriev, Yunus D."
"Dešerieva, T. I.","Desherieva, Tamara I."
"Dešerieva, Tamara I.","Desherieva, Tamara I."
Dobrušina Nina Rolandovna,"Dobrushina, Nina Rolandovna"
"Dobrušina, Nina Rolandovna","Dobrushina, Nina Rolandovna"
"Ferxees, Samira","Verhees, Samira"
"Gukasjan, Vorošil","Gukasyan, Voroshil"
"Ismailova, Èminat I.","Ismailova, Eminat I."
"Lander, Jurij A.","Lander, Yury A."
"Ljutikova, Ekaterina A.","Lyutikova, Ekaterina A."
"Majsak, T.A.","Maisak, Timur A."
"Majsak, Timur A.","Maisak, Timur A."
"Nakkarato, Kʹjara","Naccarato, Chiara"
"Oskolʹskaja, S. A.","Oskolskaya, Sofia A."
"Plungjan, V.A.","Plungian, Vladimir A."
"Plungjan, VA","Plungian, Vladimir A."
"Plungjan, Vladimir A.","Plungian, Vladimir A."
"Raxilina, EV","Rakhilina, Ekaterina  V."
"Sevortjan, Èrvand V.","Sevortjan, Ervand V."
"Starostin, Sergej A.","Starostin, Sergei A."
"Tatevosov, Sergej","Tatevosov, Sergei"
"Tatevosov, Sergej G.","Tatevosov, Sergei G."
"Testelec, Jakov G.","Testelets, Yakov G."
"Zaliznjak, Anna A","Zalizniak, Anna A."
